Pesquisa Tipo I;Pesquisa Tipo II;Educação;Teses Totais;Teses Doutorado;Suporte;Utilidade (#)
6,45;16,36;2,41;4,06;2,21;1,45;12
4,27;11,17;2,74;3,19;1,52;0,98;11,5
2,09;5,98;3,07;2,31;0,82;0,51;11
2,05;5,82;2,86;2,53;0,9;0,43;10,5
2;5,66;2,65;2,75;0,97;0,34;10
1,68;6,04;2,65;3,14;1,39;0,47;9,5
1,35;6,42;2,64;3,52;1,81;0,6;9
1,25;6,59;2,61;3,41;1,59;0,79;8,5
1,14;6,75;2,57;3,29;1,37;0,97;8
1,13;5,6;2,31;3,07;1,31;0,78;7,5
1,11;4,45;2,04;2,84;1,25;0,58;7
0,75;3,54;2,54;2,74;1,16;0,66;6,5
0,39;2,63;3,04;2,64;1,06;0,74;6
0,31;2,55;2,93;3,88;1,85;0,69;5,5
0,23;2,47;2,82;5,12;2,64;0,63;5
1,49;4,59;2,66;4,2;1,88;0,78;4,5
2,74;6,71;2,49;3,27;1,12;0,93;4
1,48;5,89;2,19;3,15;0,98;0,9;3,5
0,21;5,06;1,89;3,02;0,84;0,87;3
0,52;4,03;1,82;3,72;0,98;1,13;2,5
0,82;3;1,75;4,41;1,11;1,38;2
0,9;3,79;1,76;3,67;1,22;0,9;1,5
0,97;4,57;1,77;2,93;1,33;0,41;1
